target,source,flow
AZ,ES,81
BH,ES,86
GE,ES,22
IQ,ES,4933
IL,ES,193
KW,ES,311
OM,ES,85
QA,ES,208
SA,ES,8734
SY,ES,0
AE,ES,80
YE,ES,0
ASI_NME,ES,0
ASI_OTH,ES,0
AU,ES,0
NZ,ES,0
PG,ES,0
TOTAL,ES,78853
NSP,ES,0
BE,FR,2840
BG,FR,0
CZ,FR,3
DK,FR,45
DE,FR,1121
EE,FR,0
IE,FR,143
EL,FR,105
ES,FR,2970
FR,FR,0
HR,FR,0
IT,FR,1788
CY,FR,2
LV,FR,199
LT,FR,923
LU,FR,18
HU,FR,0
MT,FR,39
NL,FR,4773
AT,FR,3
PL,FR,140
PT,FR,105
RO,FR,0
SI,FR,0
SK,FR,19
FI,FR,131
SE,FR,1021
UK,FR,5257
IS,FR,0
NO,FR,5369
CH,FR,60
ME,FR,0
MK,FR,0
RS,FR,0
TR,FR,19
BY,FR,294
BA,FR,0
MD,FR,0
RU,FR,15107
UA,FR,3
EX_SU_OTH,FR,0
EUR_OTH,FR,16
AO,FR,1823
CM,FR,0
CG,FR,1325
CD,FR,0
GQ,FR,3282
GA,FR,134
DZ,FR,3586
EG,FR,575
LY,FR,6515
TN,FR,20
NG,FR,4181
AFR_OTH,FR,1246
CA,FR,755
US,FR,6361
BS,FR,0
AN,FR,39
TT,FR,84
MX,FR,14
AR,FR,0
BR,FR,1358
CL,FR,0
CO,FR,168
EC,FR,0
PE,FR,0
VE,FR,218
AME_OTH,FR,39
KZ,FR,7267
KG,FR,0
TJ,FR,0
TM,FR,31
UZ,FR,0
CN_X_HK,FR,42
HK,FR,0
JP,FR,14
KR,FR,496
IN,FR,1447
IR,FR,83
BN,FR,0
ID,FR,0
MY,FR,70
SG,FR,712
TH,FR,0
VN,FR,0
AM,FR,0
AZ,FR,2891
BH,FR,227
GE,FR,0
IQ,FR,1846
IL,FR,0
KW,FR,770
OM,FR,11
QA,FR,125
SA,FR,8240
SY,FR,0
AE,FR,1200
YE,FR,0
